"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"68","707","BGKP 1997 Saab 900 Se (Black)","P 6","11","5.034","1530.4","1:12:29.179","12:04:06.258","187","61","19","","3544524","0","","C"
"69","808","BGKP 1999 Saab 9-3 (White)","P 6","11","42.983","179.2","1:12:33.538","12:04:10.617","78","60","19","","4765919","0","","C"
"70","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 0","11","","0.0","1:16:35.193","12:08:12.272","210","44","19","","3546842","0","","B"
"71","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 1","11","6.740","1143.0","1:16:41.933","12:08:19.012","2","26","19","","3546842","0","","B"
"72","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 2","11","10.409","740.1","1:16:52.342","12:08:29.421","3","25","19","","3546842","0","","B"
"73","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 3","11","10.638","724.2","1:17:02.980","12:08:40.059","2","25","19","","3546842","0","","B"
"74","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 4","11","2:28.172","52.0","1:19:31.152","12:11:08.231","49","42","19","","3546842","0","","B"
"75","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 5","11","17.453","441.4","1:19:48.605","12:11:25.684","53","37","18","","3546842","0","","B"
"76","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 6","11","7.627","1010.1","1:19:56.232","12:11:33.311","625","56","19","","3546842","0","","B"
"77","??","1567614","P 0","11","","0.0","","12:13:47.418","517","163","19","","1567614","0","",""
"78","??","1567614","0","11","","0.0","","12:16:00.309","105","162","18","","1567614","0","",""
"79","??","1567614","0","11","","0.0","","12:17:55.153","109","162","19","","1567614","0","",""
"80","??","1567614","0","11","","0.0","","12:19:46.494","109","163","19","","1567614","0","",""
"81","756","PlumCrazy 1998 dodge Neon (Purple)","P 4","11","1:20:51.402","1.6","1:28:16.426","12:19:53.505","676","147","18","","5795572","0","","B"
"82","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 0","11","","0.0","1:29:00.829","12:20:37.908","605","161","19","","2749874","0","","A"
"83","??","1567614","P 0","11","","0.0","","12:22:23.836","434","165","18","","1567614","0","",""
"84","??","5950730","P 0","11","","0.0","","12:22:38.083","953","188","19","","5950730","0","",""
"85","??","6833377","P 0","11","","0.0","","12:22:38.091","868","178","19","","6833377","0","",""
"86","172","Over Under Racing 1991 Mazda Miata (Blue)","P 2","11","1:29:11.337","1.4","1:31:28.761","12:23:05.840","460","140","18","","935284","0","",""
"87","248","Blakes Garage 2000 Mazda Miata (Black)","P 0","11","","0.0","1:31:50.533","12:23:27.612","421","136","19","","2919703","0","","A"
"88","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 4","11","1:06:52.981","1.9","1:32:08.412","12:23:45.491","485","152","19","","4932257","0","","B"
"89","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","P 5","11","1:24:14.899","1.5","1:32:41.832","12:24:18.911","593","175","19","","2942111","0","","C"
"90","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","P 0","11","","0.0","1:32:55.612","12:24:32.691","359","130","19","","5018326","0","","B"
"91","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","1","11","4:06.661","31.2","1:33:07.490","12:24:44.569","130","160","19","","2749874","0","","A"
"92","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","P 0","11","","0.0","1:33:10.012","12:24:47.091","447","176","19","","3566992","0","","A"
"93","756","PlumCrazy 1998 dodge Neon (Purple)","5","11","4:54.102","26.2","1:33:10.528","12:24:47.607","96","149","19","","5795572","0","","B"
"94","??","6833377","0","11","","0.0","","12:25:06.546","89","176","19","","6833377","0","",""
"95","??","5950730","0","11","","0.0","","12:25:06.548","97","188","19","","5950730","0","",""
"96","172","Over Under Racing 1991 Mazda Miata (Blue)","3","11","2:23.814","53.6","1:33:52.575","12:25:29.654","77","139","18","","935284","0","",""
"97","248","Blakes Garage 2000 Mazda Miata (Black)","1","11","2:29.945","51.4","1:34:20.478","12:25:57.557","101","138","19","","2919703","0","","A"
"98","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","5","11","2:22.523","54.1","1:34:30.935","12:26:08.014","104","153","19","","4932257","0","","B"
"99","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","6","11","2:18.896","55.5","1:35:00.728","12:26:37.807","165","174","19","","2942111","0","","C"
"100","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","2","11","1:57.107","65.8","1:35:04.597","12:26:41.676","134","158","19","","2749874","0","","A"
"101","??","5950730","0","11","","0.0","","12:26:52.637","90","186","19","","5950730","0","",""
"102","??","6833377","0","11","","0.0","","12:26:52.639","79","178","19","","6833377","0","",""
"103","756","PlumCrazy 1998 dodge Neon (Purple)","6","11","2:09.765","59.4","1:35:20.293","12:26:57.372","96","142","19","","5795572","0","","B"
"104","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","1","11","2:25.265","53.0","1:35:20.877","12:26:57.956","36","123","19","","5018326","0","","B"
"105","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","P 4","11","1:29:13.258","1.4","1:35:26.096","12:27:03.175","206","123","18","","1769140","0","","c"
"106","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","1","11","2:33.061","50.3","1:35:43.073","12:27:20.152","126","177","19","","3566992","0","","A"
"107","172","Over Under Racing 1991 Mazda Miata (Blue)","4","11","1:56.451","66.2","1:35:49.026","12:27:26.105","91","139","19","","935284","0","",""
"108","900","TAG 1993 Mazda Miata (Grey)","P 0","11","","0.0","1:36:06.381","12:27:43.460","268","159","19","","813536","0","","A"
"109","248","Blakes Garage 2000 Mazda Miata (Black)","2","11","1:56.762","66.0","1:36:17.240","12:27:54.319","104","135","19","","2919703","0","","A"
"110","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","6","11","1:55.377","66.8","1:36:26.312","12:28:03.391","102","148","19","","4932257","0","","B"
"111","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","7","11","1:56.602","66.1","1:36:57.330","12:28:34.409","167","176","18","","2942111","0","","C"
"112","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","3","11","1:57.506","65.6","1:37:02.103","12:28:39.182","132","159","18","","2749874","0","","A"
"113","??","6833377","0","11","","0.0","","12:28:41.237","84","175","18","","6833377","0","",""
"114","??","5950730","0","11","","0.0","","12:28:41.242","95","180","18","","5950730","0","",""
"115","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","2","11","1:55.735","66.6","1:37:16.612","12:28:53.691","74","135","19","","5018326","0","","B"
"116","756","PlumCrazy 1998 dodge Neon (Purple)","7","11","2:07.318","60.5","1:37:27.611","12:29:04.690","100","147","19","","5795572","0","","B"
"117","172","Over Under Racing 1991 Mazda Miata (Blue)","5","11","1:56.161","66.3","1:37:45.187","12:29:22.266","79","139","19","","935284","0","",""
"118","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","2","11","2:03.199","62.5","1:37:46.272","12:29:23.351","126","175","19","","3566992","0","","A"
"119","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","5","11","2:22.575","54.0","1:37:48.671","12:29:25.750","40","124","19","","1769140","0","","c"
"120","248","Blakes Garage 2000 Mazda Miata (Black)","3","11","1:54.082","67.5","1:38:11.322","12:29:48.401","100","136","19","","2919703","0","","A"
"121","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","7","11","1:54.952","67.0","1:38:21.264","12:29:58.343","101","150","19","","4932257","0","","B"
"122","900","TAG 1993 Mazda Miata (Grey)","1","11","2:18.600","55.6","1:38:24.981","12:30:02.060","82","158","19","","813536","0","","A"
"123","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 7","11","18:54.266","6.8","1:38:50.498","12:30:27.577","177","136","19","","3546842","0","","B"
"124","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","8","11","1:55.625","66.6","1:38:52.955","12:30:30.034","161","175","19","","2942111","0","","C"
"125","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","4","11","1:58.251","65.1","1:39:00.354","12:30:37.433","138","158","19","","2749874","0","","A"
"126","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","3","11","1:52.801","68.3","1:39:09.413","12:30:46.492","41","128","19","","5018326","0","","B"
"127","??","6833377","P 0","11","","0.0","","12:30:54.435","513","181","19","","6833377","0","",""
"128","??","5950730","P 0","11","","0.0","","12:30:54.441","560","191","19","","5950730","0","",""
"129","756","PlumCrazy 1998 dodge Neon (Purple)","8","11","2:07.687","60.3","1:39:35.298","12:31:12.377","99","148","19","","5795572","0","","B"
"130","172","Over Under Racing 1991 Mazda Miata (Blue)","6","11","1:52.568","68.4","1:39:37.755","12:31:14.834","88","140","19","","935284","0","",""
"131","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","6","11","1:54.848","67.1","1:39:43.519","12:31:20.598","40","125","19","","1769140","0","","c"
"132","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","3","11","1:59.048","64.7","1:39:45.320","12:31:22.399","124","178","19","","3566992","0","","A"
"133","248","Blakes Garage 2000 Mazda Miata (Black)","4","11","1:54.887","67.1","1:40:06.209","12:31:43.288","100","134","19","","2919703","0","","A"
"134","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","8","11","1:57.793","65.4","1:40:19.057","12:31:56.136","100","149","19","","4932257","0","","B"
"135","900","TAG 1993 Mazda Miata (Grey)","2","11","1:55.459","66.7","1:40:20.440","12:31:57.519","82","158","19","","813536","0","","A"
"136","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","9","11","1:54.430","67.3","1:40:47.385","12:32:24.464","160","176","19","","2942111","0","","C"
"137","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","5","11","1:56.908","65.9","1:40:57.262","12:32:34.341","130","160","19","","2749874","0","","A"
"138","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","4","11","1:55.661","66.6","1:41:05.074","12:32:42.153","30","127","19","","5018326","0","","B"
"139","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","8","11","2:15.718","56.8","1:41:06.216","12:32:43.295","60","138","19","","3546842","0","","B"
"140","172","Over Under Racing 1991 Mazda Miata (Blue)","7","11","1:52.835","68.3","1:41:30.590","12:33:07.669","90","139","19","","935284","0","",""
"141","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","7","11","1:51.455","69.1","1:41:34.974","12:33:12.053","45","127","19","","1769140","0","","c"
"142","756","PlumCrazy 1998 dodge Neon (Purple)","9","11","2:04.605","61.8","1:41:39.903","12:33:16.982","98","147","19","","5795572","0","","B"
"143","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","4","11","1:56.775","66.0","1:41:42.095","12:33:19.174","121","176","19","","3566992","0","","A"
"144","248","Blakes Garage 2000 Mazda Miata (Black)","5","11","1:55.355","66.8","1:42:01.564","12:33:38.643","100","136","19","","2919703","0","","A"
"145","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","9","11","1:52.168","68.7","1:42:11.225","12:33:48.304","105","153","19","","4932257","0","","B"
"146","900","TAG 1993 Mazda Miata (Grey)","3","11","1:53.891","67.6","1:42:14.331","12:33:51.410","84","158","19","","813536","0","","A"
"147","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","10","11","1:53.734","67.7","1:42:41.119","12:34:18.198","153","173","19","","2942111","0","","C"
"148","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","6","11","1:56.786","66.0","1:42:54.048","12:34:31.127","136","161","18","","2749874","0","","A"
"149","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","5","11","1:51.707","69.0","1:42:56.781","12:34:33.860","31","127","19","","5018326","0","","B"
"150","??","8107393","P 0","11","","0.0","","12:34:35.354","144","44","19","","8107393","0","",""
"151","172","Over Under Racing 1991 Mazda Miata (Blue)","8","11","1:51.855","68.9","1:43:22.445","12:34:59.524","83","139","19","","935284","0","",""
"152","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","8","11","1:50.150","69.9","1:43:25.124","12:35:02.203","42","126","19","","1769140","0","","c"
"153","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","5","11","1:57.258","65.7","1:43:39.353","12:35:16.432","121","178","19","","3566992","0","","A"
"154","756","PlumCrazy 1998 dodge Neon (Purple)","10","11","2:04.640","61.8","1:43:44.543","12:35:21.622","89","148","19","","5795572","0","","B"
"155","??","8107393","P 0","11","","0.0","","12:35:24.862","13","33","19","","8107393","0","",""
"156","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 9","11","2:47.702","45.9","1:43:53.918","12:35:30.997","140","134","19","","3546842","0","","B"
"157","248","Blakes Garage 2000 Mazda Miata (Black)","6","11","1:55.735","66.6","1:43:57.299","12:35:34.378","102","131","19","","2919703","0","","A"
"158","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","10","11","1:53.428","67.9","1:44:04.653","12:35:41.732","97","148","19","","4932257","0","","B"
"159","900","TAG 1993 Mazda Miata (Grey)","4","11","1:52.596","68.4","1:44:06.927","12:35:44.006","78","158","19","","813536","0","","A"
"160","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","11","11","1:54.041","67.6","1:44:35.160","12:36:12.239","156","175","19","","2942111","0","","C"
"161","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","7","11","1:55.805","66.5","1:44:49.853","12:36:26.932","135","159","19","","2749874","0","","A"
"162","451","Rooster Racing LLC 1996 Dodge Neon (White Black and Green)","P 6","11","2:12.634","58.1","1:45:09.415","12:36:46.494","276","128","19","","5018326","0","","B"
"163","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","9","11","1:50.661","69.6","1:45:15.785","12:36:52.864","47","126","19","","1769140","0","","c"
"164","172","Over Under Racing 1991 Mazda Miata (Blue)","9","11","1:54.195","67.5","1:45:16.640","12:36:53.719","86","140","19","","935284","0","",""
"165","??","6833377","P 0","11","","0.0","","12:37:11.472","473","177","19","","6833377","0","",""
"166","??","5950730","P 0","11","","0.0","","12:37:11.477","570","185","19","","5950730","0","",""
"167","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","6","11","1:56.163","66.3","1:45:35.516","12:37:12.595","123","176","19","","3566992","0","","A"
"168","??","8107393","P 0","11","","0.0","","12:37:22.130","10","31","19","","8107393","0","",""
"169","756","PlumCrazy 1998 dodge Neon (Purple)","11","11","2:01.949","63.2","1:45:46.492","12:37:23.571","98","141","19","","5795572","0","","B"
"170","248","Blakes Garage 2000 Mazda Miata (Black)","7","11","1:54.122","67.5","1:45:51.421","12:37:28.500","97","131","19","","2919703","0","","A"
"171","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","11","11","1:50.731","69.6","1:45:55.384","12:37:32.463","97","150","19","","4932257","0","","B"
"172","900","TAG 1993 Mazda Miata (Grey)","5","11","1:58.971","64.8","1:46:05.898","12:37:42.977","92","158","19","","813536","0","","A"
"173","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","12","12","1:53.138","68.1","1:46:28.298","12:38:05.377","158","173","19","","2942111","0","","C"
"174","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","10","12","2:36.737","49.2","1:46:30.655","12:38:07.734","88","137","19","","3546842","0","","B"
"175","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","8","12","1:55.335","66.8","1:46:45.188","12:38:22.267","128","158","19","","2749874","0","","A"
"176","??","8107393","P 0","12","","0.0","","12:38:38.282","587","54","19","","8107393","0","",""
"177","172","Over Under Racing 1991 Mazda Miata (Blue)","10","12","1:53.919","67.6","1:47:10.559","12:38:47.638","82","139","19","","935284","0","",""
"178","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","P 10","12","2:12.854","58.0","1:47:28.639","12:39:05.718","177","127","19","","1769140","0","","c"
"179","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","7","12","1:58.577","65.0","1:47:34.093","12:39:11.172","120","176","19","","3566992","0","","A"
"180","??","8107393","P 0","12","","0.0","","12:39:28.249","971","66","19","","8107393","0","",""
"181","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","12","12","1:55.874","66.5","1:47:51.258","12:39:28.337","108","158","19","","4932257","0","","B"
"182","??","6833377","0","12","","0.0","","12:39:36.927","112","177","19","","6833377","0","",""
"183","??","5950730","0","12","","0.0","","12:39:36.930","126","189","19","","5950730","0","",""
"184","900","TAG 1993 Mazda Miata (Grey)","6","12","1:55.292","66.8","1:48:01.190","12:39:38.269","91","159","19","","813536","0","","A"
"185","??","8107393","P 0","12","","0.0","","12:39:56.985","36","39","19","","8107393","0","",""
"186","756","PlumCrazy 1998 dodge Neon (Purple)","P 12","12","2:33.648","50.1","1:48:20.140","12:39:57.219","557","143","19","","5795572","0","","B"
"187","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","13","13","1:53.478","67.9","1:48:21.776","12:39:58.855","154","174","19","","2942111","0","","C"
"188","248","Blakes Garage 2000 Mazda Miata (Black)","P 8","13","3:05.644","41.5","1:48:57.065","12:40:34.144","341","134","19","","2919703","0","","A"
"189","172","Over Under Racing 1991 Mazda Miata (Blue)","11","13","1:53.727","67.7","1:49:04.286","12:40:41.365","78","138","19","","935284","0","",""
"190","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","8","13","1:57.473","65.6","1:49:31.566","12:41:08.645","127","176","19","","3566992","0","","A"
"191","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 11","13","3:08.521","40.9","1:49:39.176","12:41:16.255","139","133","19","","3546842","0","","B"
"192","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","13","13","1:51.443","69.1","1:49:42.701","12:41:19.780","117","156","19","","4932257","0","","B"
"193","??","6833377","0","13","","0.0","","12:41:21.367","112","177","19","","6833377","0","",""
"194","??","5950730","0","13","","0.0","","12:41:21.367","123","188","19","","5950730","0","",""
"195","900","TAG 1993 Mazda Miata (Grey)","7","13","1:52.741","68.3","1:49:53.931","12:41:31.010","90","159","18","","813536","0","","A"
"196","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","14","14","1:52.407","68.5","1:50:14.183","12:41:51.262","122","164","19","","2942111","0","","C"
"197","172","Over Under Racing 1991 Mazda Miata (Blue)","12","14","1:55.758","66.6","1:51:00.044","12:42:37.123","79","137","18","","935284","0","",""
"198","248","Blakes Garage 2000 Mazda Miata (Black)","9","14","2:06.546","60.9","1:51:03.611","12:42:40.690","102","131","18","","2919703","0","","A"
"199","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","9","14","1:55.961","66.4","1:51:27.527","12:43:04.606","128","178","19","","3566992","0","","A"
"200","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","14","14","1:52.125","68.7","1:51:34.826","12:43:11.905","108","154","19","","4932257","0","","B"
"201","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 3","14","1:22:35.210","1.6","1:51:36.353","12:43:13.432","711","57","19","","5955655","0","","EC"
"202","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 9","14","5:01.572","25.5","1:51:46.760","12:43:23.839","454","164","19","","2749874","0","","A"
"203","900","TAG 1993 Mazda Miata (Grey)","8","14","1:54.947","67.0","1:51:48.878","12:43:25.957","80","157","19","","813536","0","","A"
"204","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","12","14","2:10.717","58.9","1:51:49.893","12:43:26.972","70","134","19","","3546842","0","","B"
"205","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","11","14","4:30.606","28.5","1:51:59.245","12:43:36.324","31","124","19","","1769140","0","","c"
"206","??","6833377","P 0","14","","0.0","","12:43:36.497","545","182","19","","6833377","0","",""
"207","??","5950730","P 0","14","","0.0","","12:43:36.507","576","190","19","","5950730","0","",""
"208","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","15","15","1:52.334","68.6","1:52:06.517","12:43:43.596","118","163","19","","2942111","0","","C"
"209","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 4","15","38.574","199.7","1:52:14.927","12:43:52.006","466","54","19","","5955655","0","","EC"
"210","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 5","15","35.894","214.6","1:52:50.821","12:44:27.900","2","26","19","","5955655","0","","EC"
"211","172","Over Under Racing 1991 Mazda Miata (Blue)","13","15","1:56.421","66.2","1:52:56.465","12:44:33.544","74","138","19","","935284","0","",""
"212","756","PlumCrazy 1998 dodge Neon (Purple)","13","15","4:38.239","27.7","1:52:58.379","12:44:35.458","78","145","19","","5795572","0","","B"
"213","248","Blakes Garage 2000 Mazda Miata (Black)","10","15","2:01.633","63.3","1:53:05.244","12:44:42.323","132","134","19","","2919703","0","","A"
"214","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 6","15","15.217","506.3","1:53:06.038","12:44:43.117","675","54","19","","5955655","0","","EC"
"215","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","10","15","1:55.764","66.5","1:53:23.291","12:45:00.370","123","176","19","","3566992","0","","A"
"216","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 7","15","19.791","389.3","1:53:25.829","12:45:02.908","375","52","19","","5955655","0","","EC"
"217","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","15","15","1:51.932","68.8","1:53:26.758","12:45:03.837","119","153","19","","4932257","0","","B"
"218","900","TAG 1993 Mazda Miata (Grey)","9","15","1:52.926","68.2","1:53:41.804","12:45:18.883","85","159","19","","813536","0","","A"
"219","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","13","15","1:59.135","64.7","1:53:49.028","12:45:26.107","65","135","19","","3546842","0","","B"
"220","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 8","15","23.567","326.9","1:53:49.396","12:45:26.475","177","49","19","","5955655","0","","EC"
"221","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","12","15","1:50.163","69.9","1:53:49.408","12:45:26.487","44","126","19","","1769140","0","","c"
"222","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","10","15","2:12.279","58.2","1:53:59.039","12:45:36.118","109","158","19","","2749874","0","","A"
"223","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","16","16","1:52.693","68.4","1:53:59.210","12:45:36.289","107","162","19","","2942111","0","","C"
"224","172","Over Under Racing 1991 Mazda Miata (Blue)","14","16","1:52.351","68.6","1:54:48.816","12:46:25.895","78","138","19","","935284","0","",""
"225","756","PlumCrazy 1998 dodge Neon (Purple)","14","16","1:58.643","64.9","1:54:57.022","12:46:34.101","105","153","19","","5795572","0","","B"
"226","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","11","16","1:56.443","66.2","1:55:19.734","12:46:56.813","119","176","19","","3566992","0","","A"
"227","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","16","16","1:53.999","67.6","1:55:20.757","12:46:57.836","115","155","19","","4932257","0","","B"
"228","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","13","16","1:50.018","70.0","1:55:39.426","12:47:16.505","44","127","18","","1769140","0","","c"
"229","248","Blakes Garage 2000 Mazda Miata (Black)","P 11","16","2:39.295","48.4","1:55:44.539","12:47:21.618","293","134","19","","2919703","0","","A"
"230","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","14","16","2:02.149","63.1","1:55:51.177","12:47:28.256","64","137","19","","3546842","0","","B"
"231","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","17","17","1:52.370","68.6","1:55:51.580","12:47:28.659","130","165","19","","2942111","0","","C"
"232","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","11","17","1:58.306","65.1","1:55:57.345","12:47:34.424","133","159","19","","2749874","0","","A"
"233","172","Over Under Racing 1991 Mazda Miata (Blue)","15","17","1:51.775","68.9","1:56:40.591","12:48:17.670","87","140","19","","935284","0","",""
"234","756","PlumCrazy 1998 dodge Neon (Purple)","15","17","1:56.943","65.9","1:56:53.965","12:48:31.044","87","144","19","","5795572","0","","B"
"235","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","17","17","1:50.916","69.5","1:57:11.673","12:48:48.752","128","163","19","","4932257","0","","B"
"236","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","12","17","1:56.650","66.0","1:57:16.384","12:48:53.463","119","174","19","","3566992","0","","A"
"237","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","18","18","1:53.356","68.0","1:57:44.936","12:49:22.015","120","160","19","","2942111","0","","C"
"238","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","P 14","18","2:08.684","59.9","1:57:48.110","12:49:25.189","179","126","19","","1769140","0","","c"
"239","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","15","18","1:59.929","64.2","1:57:51.106","12:49:28.185","64","134","19","","3546842","0","","B"
"240","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","12","18","1:55.539","66.7","1:57:52.884","12:49:29.963","131","157","19","","2749874","0","","A"
"241","248","Blakes Garage 2000 Mazda Miata (Black)","P 12","18","3:06.577","41.3","1:58:51.116","12:50:28.195","306","133","19","","2919703","0","","A"
"242","172","Over Under Racing 1991 Mazda Miata (Blue)","16","18","2:10.588","59.0","1:58:51.179","12:50:28.258","62","139","19","","935284","0","",""
"243","756","PlumCrazy 1998 dodge Neon (Purple)","16","18","1:57.301","65.7","1:58:51.266","12:50:28.345","99","150","19","","5795572","0","","B"
"244","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","13","18","1:58.205","65.2","1:59:14.589","12:50:51.668","125","176","19","","3566992","0","","A"
"245","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","19","19","1:52.597","68.4","1:59:37.533","12:51:14.612","124","161","19","","2942111","0","","C"
"246","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","16","19","1:57.080","65.8","1:59:48.186","12:51:25.265","66","134","19","","3546842","0","","B"
"247","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","13","19","1:56.123","66.3","1:59:49.007","12:51:26.086","127","157","19","","2749874","0","","A"
"248","756","PlumCrazy 1998 dodge Neon (Purple)","17","19","1:58.135","65.2","2:00:49.401","12:52:26.480","81","144","19","","5795572","0","","B"
"249","172","Over Under Racing 1991 Mazda Miata (Blue)","17","19","1:59.584","64.4","2:00:50.763","12:52:27.842","91","139","19","","935284","0","",""
"250","248","Blakes Garage 2000 Mazda Miata (Black)","13","19","2:07.416","60.5","2:00:58.532","12:52:35.611","103","135","19","","2919703","0","","A"
"251","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 18","19","3:53.766","33.0","2:01:05.439","12:52:42.518","473","154","19","","4932257","0","","B"
"252","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","14","19","2:01.514","63.4","2:01:16.103","12:52:53.182","128","177","19","","3566992","0","","A"
"253","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","20","20","1:51.887","68.9","2:01:29.420","12:53:06.499","120","163","19","","2942111","0","","C"
"254","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","15","20","3:42.509","34.6","2:01:30.619","12:53:07.698","36","125","19","","1769140","0","","c"
"255","??","8842708","P 0","20","","0.0","","12:53:16.939","105","42","19","","8842708","0","",""
"256","??","8842708","P 0","20","","0.0","","12:53:23.616","587","51","19","","8842708","0","",""
