"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"421","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","21","47","2:01.945","63.2","4:06:36.002","14:58:13.081","20","124","49","","1769140","0","","c"
"422","??","3665648","0","47","","0.0","","14:58:27.969","68","146","61","","3665648","0","",""
"423","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","27","47","1:54.104","67.5","4:07:05.437","14:58:42.516","79","158","45","","4932257","0","","B"
"424","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","31","47","1:58.490","65.0","4:07:57.861","14:59:34.940","103","161","42","","2749874","0","","A"
"425","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","48","48","1:57.851","65.4","4:07:58.265","14:59:35.344","92","179","42","","3566992","0","","A"
"426","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 32","48","2:39.918","48.2","4:10:37.779","15:02:14.858","4","24","45","","2749874","0","","A"
"427","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","49","49","2:42.818","47.3","4:10:41.083","15:02:18.162","3","68","45","","3566992","0","","A"
"428","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 33","49","17:29.861","7.3","4:28:07.640","15:19:44.719","2","24","63","","2749874","0","","A"
"429","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 27","49","28:30.049","4.5","4:28:36.370","15:20:13.449","24","46","18","","4808597","0","","D"
"430","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","34","49","4:14.109","30.3","4:32:21.749","15:23:58.828","53","158","62","","2749874","0","","A"
"431","978","Beer Money Racing 1978 Chevy Camaro (Silver)","28","49","3:51.799","33.2","4:32:28.169","15:24:05.248","51","177","62","","4808597","0","","D"
"432","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","22","49","25:55.022","5.0","4:32:31.024","15:24:08.103","13","123","62","","1769140","0","","c"
"433","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","28","49","25:46.523","5.0","4:32:51.960","15:24:29.039","52","157","63","","4932257","0","","B"
"434","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","50","50","25:20.489","5.1","4:36:01.572","15:27:38.651","6","44","0","","3566992","0","","A"
"435","978","Beer Money Racing 1978 Chevy Camaro (Silver)","29","50","4:11.913","30.6","4:36:40.082","15:28:17.161","7","48","0","","4808597","0","","D"
"436","??","3459405","0","50","","0.0","","15:28:58.636","36","163","67","","3459405","0","",""
"437","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","51","51","1:55.583","66.7","4:37:57.155","15:29:34.234","54","176","63","","3566992","0","","A"
